Pclass,Sex,Embarked,Title,Age_cat,Fare_cat,FSize
3,male,S,Mr,Student,quart_1,2
1,female,C,Mrs,Adult,quart_4,2
3,female,S,Miss,Young,quart_1,1
1,female,S,Mrs,Young,quart_4,2
3,male,S,Mr,Young,quart_2,1
3,male,Q,Mr,,quart_2,1
1,male,S,Mr,Adult,quart_4,1
3,male,S,Master,babies,quart_3,5
3,female,S,Mrs,Young,quart_2,3
2,female,C,Mrs,Teen,quart_3,2
3,female,S,Miss,babies,quart_3,3
1,female,S,Miss,Adult,quart_3,1
3,male,S,Mr,Student,quart_2,1
3,male,S,Mr,Adult,quart_4,7
3,female,S,Miss,Teen,quart_1,1
2,female,S,Mrs,Adult,quart_3,1
3,male,Q,Master,babies,quart_3,6
2,male,S,Mr,,quart_2,1
3,female,S,Mrs,Young,quart_3,2
3,female,C,Mrs,,quart_1,1
2,male,S,Mr,Young,quart_3,1
2,male,S,Mr,Young,quart_2,1
3,female,Q,Miss,Teen,quart_2,1
1,male,S,Mr,Young,quart_4,1
3,female,S,Miss,Children,quart_3,5
3,female,S,Mrs,Adult,quart_4,7
3,male,C,Mr,,quart_1,1
1,male,S,Mr,Student,quart_4,6
3,female,Q,Miss,,quart_1,1
3,male,S,Mr,,quart_1,1
1,male,C,Royalty,Adult,quart_3,1
1,female,C,Mrs,,quart_4,2
3,female,Q,Miss,,quart_1,1
2,male,S,Mr,Senior,quart_2,1
1,male,C,Mr,Young,quart_4,2
1,male,S,Mr,Adult,quart_4,2
3,male,C,Mr,,quart_1,1
3,male,S,Mr,Student,quart_2,1
3,female,S,Miss,Teen,quart_3,3
3,female,C,Miss,Teen,quart_2,2
3,female,S,Mrs,Adult,quart_2,2
2,female,S,Mrs,Young,quart_3,2
3,male,C,Mr,,quart_1,1
2,female,C,Miss,babies,quart_4,4
3,female,Q,Miss,Student,quart_1,1
3,male,S,Mr,,quart_2,1
3,male,Q,Mr,,quart_3,2
3,female,Q,Miss,,quart_1,1
3,male,C,Mr,,quart_3,3
3,female,S,Mrs,Teen,quart_3,2
3,male,S,Master,Children,quart_4,6
3,male,S,Mr,Student,quart_1,1
1,female,C,Mrs,Adult,quart_4,2
2,female,S,Mrs,Young,quart_3,2
1,male,C,Mr,Senior,quart_4,2
1,male,S,Mr,,quart_4,1
2,female,S,Miss,Student,quart_2,1
3,male,C,Mr,Young,quart_1,1
2,female,S,Miss,babies,quart_3,4
3,male,S,Master,Children,quart_4,8
3,male,C,Mr,Student,quart_1,1
1,female,,Miss,Adult,quart_4,1
1,male,S,Mr,Adult,quart_4,2
3,male,S,Master,babies,quart_3,6
1,male,C,Mr,,quart_3,1
3,male,C,Master,,quart_3,3
2,female,S,Mrs,Young,quart_2,1
3,male,S,Mr,Student,quart_2,1
3,female,S,Miss,Teen,quart_1,7
3,male,S,Mr,Young,quart_2,3
2,male,S,Mr,Young,quart_2,1
3,female,S,Miss,Teen,quart_4,8
2,male,S,Mr,Student,quart_4,1
3,male,C,Mr,Young,quart_2,2
3,male,S,Mr,Young,quart_4,1
3,male,S,Mr,Student,quart_1,1
3,male,S,Mr,,quart_1,1
3,male,S,Mr,,quart_2,1
2,male,S,Master,babies,quart_3,3
3,female,S,Miss,Young,quart_2,1
3,male,S,Mr,Student,quart_2,1
3,male,S,Mr,Young,quart_2,1
3,female,Q,Miss,,quart_1,1
1,male,S,Mr,Young,quart_4,1
2,female,S,Miss,Teen,quart_2,1
3,female,S,Mrs,Young,quart_3,4
3,male,S,Mr,Teen,quart_4,5
3,male,S,Mr,,quart_2,1
1,female,S,Miss,Student,quart_4,6
3,male,S,Mr,Student,quart_2,1
3,male,S,Mr,Young,quart_2,1
3,male,S,Mr,Student,quart_1,1
1,male,S,Mr,Adult,quart_4,2
3,male,S,Mr,Young,quart_3,4
3,male,S,Mr,Adult,quart_1,1
3,male,S,Mr,,quart_2,1
1,male,C,Mr,Senior,quart_4,1
1,male,C,Mr,Student,quart_4,2
2,female,S,Mrs,Young,quart_3,2
2,male,S,Mr,Young,quart_3,2
3,female,S,Miss,Young,quart_1,1
3,male,S,Mr,,quart_1,1
1,male,S,Mr,Student,quart_4,2
3,male,S,Mr,Young,quart_2,1
3,male,S,Mr,Adult,quart_1,3
3,male,S,Mr,Young,quart_1,1
3,female,S,Miss,Student,quart_1,1
3,male,S,Mr,,quart_1,1
3,male,S,Mr,Adult,quart_1,1
3,female,Q,Miss,,quart_3,2
1,male,S,Mr,Adult,quart_4,1
3,female,C,Miss,Teen,quart_2,2
3,male,S,Mr,Student,quart_2,1
3,female,S,Miss,Student,quart_2,2
3,female,C,Miss,Teen,quart_2,1
3,male,S,Mr,Student,quart_1,1
3,male,Q,Mr,Senior,quart_1,1
2,male,S,Mr,Young,quart_3,2
1,male,C,Mr,Student,quart_4,2
3,female,S,Miss,babies,quart_4,7
2,male,S,Mr,Student,quart_4,3
3,male,S,Mr,,quart_2,1
2,male,C,Mr,Young,quart_3,2
2,female,S,Miss,Young,quart_2,1
1,male,S,Mr,Adult,quart_4,2
3,male,C,Master,Children,quart_2,2
3,male,Q,Mr,,quart_1,1
3,male,S,Mr,Student,quart_1,1
3,female,C,Miss,,quart_3,3
3,male,S,Mr,Adult,quart_1,1
3,male,C,Mr,Young,quart_1,1
3,male,S,Mr,Student,quart_1,1
3,female,S,Mrs,Adult,quart_2,2
2,female,S,Mrs,Young,quart_3,2
2,male,S,Mr,Student,quart_2,1
2,male,C,Mr,Student,quart_3,1
1,female,S,Miss,Student,quart_3,3
1,male,S,Mr,Adult,quart_4,2
3,male,S,Mr,Teen,quart_2,1
1,male,C,Mr,Student,quart_4,1
3,female,C,Mrs,,quart_3,3
3,female,S,Miss,Student,quart_1,1
3,female,S,Mrs,Student,quart_3,2
3,male,Q,Mr,Student,quart_1,1
2,male,S,Mr,Teen,quart_2,1
2,male,S,Mr,Student,quart_4,3
3,male,S,Mr,Young,quart_1,1
3,female,S,Miss,Children,quart_4,5
2,male,S,Mr,Adult,quart_3,3
2,male,S,Officer,Adult,quart_2,1
2,male,S,Officer,Adult,quart_2,1
1,female,S,Mrs,Student,quart_4,2
3,male,S,Mr,Adult,quart_2,1
3,male,S,Mr,Adult,quart_2,3
3,male,S,Mr,,quart_1,1
1,male,C,Mr,Adult,quart_4,2
3,female,Q,Miss,Teen,quart_1,1
3,male,S,Mr,Young,quart_2,1
3,male,S,Mr,,quart_2,1
3,male,S,Master,,quart_4,11
3,male,S,Mr,Adult,quart_3,2
2,female,S,Mrs,Adult,quart_3,1
3,male,S,Mr,Young,quart_1,1
3,male,S,Mr,Teen,quart_2,1
3,male,S,Master,babies,quart_4,6
3,male,S,Master,Children,quart_3,3
1,female,S,Mrs,,quart_4,2
3,female,S,Mrs,Adult,quart_3,6
1,male,S,Mr,,quart_3,1
3,male,S,Mr,Young,quart_4,1
1,male,S,Mr,Senior,quart_4,1
3,male,Q,Master,babies,quart_3,6
3,female,S,Miss,babies,quart_2,3
3,male,S,Mr,Student,quart_1,1
1,male,C,Mr,Adult,quart_3,1
3,male,S,Mr,Teen,quart_1,3
3,male,S,Master,,quart_3,5
1,female,C,Miss,Adult,quart_3,1
2,male,S,Mr,Young,quart_2,1
3,male,S,Mr,Adult,,1
3,female,S,Miss,,quart_4,11
2,male,C,Mr,,quart_3,1
3,male,S,Master,Children,quart_4,7
2,male,S,Master,babies,quart_4,4
3,female,S,Miss,babies,quart_3,3
1,male,S,Mr,,quart_4,1
3,female,Q,Mrs,,quart_3,2
1,male,S,Mr,Adult,quart_3,1
3,male,Q,Mr,Adult,quart_3,3
3,male,S,Mr,Adult,quart_1,1
2,female,S,Mrs,Young,quart_2,1
2,male,S,Mr,Student,quart_2,1
3,female,S,Miss,Student,quart_1,2
2,male,S,Master,babies,quart_3,3
1,female,C,Mrs,Adult,quart_3,1
1,female,C,Miss,Adult,quart_4,1
3,male,Q,Mr,,quart_1,1
3,male,S,Mr,Adult,quart_2,2
3,female,Q,Miss,,quart_1,1
2,female,S,Miss,Student,quart_2,1
3,male,S,Mr,Young,quart_2,1
3,male,S,Mr,,quart_4,11
3,male,S,Mr,Young,quart_1,1
3,male,C,Mr,Adult,quart_1,1
3,male,S,Mr,Teen,quart_2,1
3,female,S,Miss,babies,quart_2,2
3,male,S,Mr,Young,quart_3,2
3,male,C,Mr,Young,quart_3,1
3,female,Q,Miss,Teen,quart_1,1
1,male,C,Mr,Adult,quart_3,1
3,male,S,Mr,Student,quart_1,1
2,female,S,Miss,Young,quart_3,1
3,male,S,Mr,Student,quart_1,1
2,male,S,Mr,Young,quart_2,1
3,male,Q,Mr,,quart_1,2
1,female,C,Miss,Young,quart_4,2
3,female,S,Miss,Young,quart_1,1
2,male,S,Mr,Adult,quart_3,2
1,female,C,Miss,Young,quart_4,1
2,male,S,Mr,Young,quart_2,1
3,male,S,Mr,Teen,quart_2,1
2,male,S,Mr,Young,quart_2,1
3,male,S,Mr,Adult,quart_2,1
3,male,S,Mr,,quart_1,1
1,male,S,Mr,Adult,quart_4,2
3,male,S,Mr,Student,quart_2,1
2,male,S,Mr,Student,quart_2,1
3,male,S,Mr,Student,quart_1,1
2,male,S,Mr,Teen,quart_2,1
3,female,S,Miss,,quart_3,5
1,female,S,Mrs,Young,quart_4,2
3,male,S,Mr,Young,quart_1,1
2,male,S,Mr,Adult,quart_2,1
3,female,S,Miss,babies,quart_4,7
2,male,S,Mr,Student,quart_2,1
3,female,S,Miss,,quart_1,1
2,male,S,Mr,Adult,quart_3,2
2,female,S,Miss,Children,quart_3,3
2,male,S,Mr,Student,quart_2,1
2,male,S,Mr,Young,quart_2,1
3,female,C,Miss,,quart_2,2
3,female,Q,Miss,,quart_3,2
2,male,S,Mr,Young,quart_2,1
3,male,S,Mr,Student,quart_1,1
3,male,C,Mr,Young,quart_1,1
1,male,Q,Officer,Adult,quart_4,3
3,female,S,Miss,Student,quart_1,1
2,female,S,Mrs,Student,quart_2,3
1,male,S,Mr,Adult,quart_4,3
2,male,S,Officer,Adult,quart_3,2
3,male,S,Mr,,quart_1,1
3,female,S,Mrs,Young,quart_2,3
1,male,S,Mr,Senior,quart_3,1
3,male,S,Mr,Young,quart_3,2
3,female,S,Mrs,Adult,quart_3,3
3,female,C,Mrs,Young,quart_3,3
1,female,C,Mrs,,quart_4,1
1,female,S,Miss,Young,quart_4,1
1,female,C,Miss,Young,quart_4,1
2,female,S,Mrs,Adult,quart_3,2
3,male,Q,Mr,,quart_1,1
3,male,S,Master,babies,quart_4,7
1,male,S,Mr,Adult,quart_4,3
1,male,S,Mr,Adult,,1
3,female,Q,Miss,,quart_1,1
2,male,S,Mr,Adult,quart_2,1
3,male,S,Mr,Teen,quart_4,6
3,male,S,Mr,Student,quart_1,2
1,female,S,Mrs,Adult,quart_4,2
1,female,S,Miss,Young,quart_4,1
1,male,S,Mr,,quart_3,1
3,male,S,Mr,Student,,1
2,female,S,Mrs,Adult,quart_3,2
1,male,C,Mr,Adult,quart_3,2
3,female,Q,Miss,,quart_1,1
1,female,S,Miss,Senior,quart_4,2
3,female,S,Miss,Adult,quart_1,1
2,male,S,Mr,,,1
3,male,Q,Master,Children,quart_3,6
3,female,S,Mrs,Young,quart_3,3
3,male,Q,Mr,Senior,quart_1,1
3,male,S,Mr,Young,quart_1,1
3,male,S,Mr,Teen,quart_2,1
3,male,S,Mr,Student,quart_2,1
1,male,S,Mr,,quart_3,1
3,male,C,Mr,Young,quart_2,1
3,male,S,Mr,Young,quart_2,1
3,male,S,Mr,Student,quart_1,1
2,male,S,Mr,Adult,quart_2,1
3,female,Q,Miss,Student,quart_1,1
1,female,S,Miss,Young,quart_4,1
1,female,C,Mrs,Student,quart_4,2
2,male,C,Mr,Adult,quart_2,1
3,female,S,Miss,Student,quart_2,1
3,male,S,Mr,Student,quart_1,1
1,male,C,Mr,,quart_3,1
3,male,C,Mr,Student,quart_1,1
1,female,S,Miss,babies,quart_4,4
1,male,S,Mr,,quart_3,1
1,female,C,Mrs,Adult,quart_4,2
3,female,Q,Miss,,quart_1,1
3,male,Q,Mr,,quart_3,3
3,male,S,Mr,Student,,1
2,female,Q,Miss,,quart_2,1
3,male,S,Mr,,quart_2,1
1,male,S,Master,babies,quart_4,4
1,female,C,Miss,,quart_4,1
1,female,C,Mrs,Teen,quart_4,2
2,male,C,Mr,Young,quart_3,2
1,female,C,Miss,Young,quart_4,1
1,female,C,Miss,Student,quart_4,1
1,female,C,Miss,Teen,quart_4,5
2,female,S,Mrs,Young,quart_3,3
3,male,S,Mr,Young,quart_1,1
2,male,S,Mr,Adult,quart_3,3
3,female,S,Miss,Young,quart_1,1
2,female,S,Mrs,Student,quart_3,2
2,male,S,Officer,Adult,quart_2,1
1,female,S,Miss,Young,quart_4,3
1,female,C,Mrs,Adult,quart_4,3
3,male,S,Mr,Student,quart_1,1
3,male,S,Mr,Young,quart_1,1
2,female,Q,Miss,Young,quart_2,1
2,female,S,Mrs,Student,quart_3,3
3,male,S,Mr,,quart_4,11
1,female,C,Miss,Adult,quart_4,1
3,male,S,Mr,Senior,quart_1,1
2,female,S,Mrs,Adult,quart_2,1
3,female,S,Mrs,Young,quart_3,3
1,female,C,Miss,Teen,quart_4,2
3,female,Q,Miss,,quart_3,3
1,male,S,Mr,Adult,quart_3,1
1,male,S,Mr,Adult,quart_4,2
3,male,S,Mr,Teen,quart_3,3
1,female,S,Mrs,,quart_4,2
3,male,S,Mr,,quart_1,1
1,male,S,Mr,Young,quart_4,2
1,female,C,Miss,Adult,quart_4,1
3,male,S,Mr,Adult,quart_2,1
1,male,S,Mr,Adult,quart_4,1
2,male,S,Master,babies,quart_3,3
1,female,S,Miss,Student,quart_4,6
2,male,S,Mr,Young,quart_2,1
2,male,S,Mr,Student,quart_2,1
2,male,S,Mr,Adult,quart_2,1
2,female,S,Miss,Student,quart_2,1
2,female,S,Miss,Adult,quart_2,1
3,female,S,Mrs,,quart_3,2
3,male,S,Master,babies,quart_3,3
3,male,S,Mr,Adult,quart_2,1
3,male,S,Mr,Student,quart_2,1
1,male,S,Mr,,quart_4,1
3,male,C,Mr,Teen,quart_1,3
3,male,S,Mr,Student,quart_3,2
3,male,C,Mr,,quart_1,1
3,male,S,Mr,Young,quart_2,1
1,female,S,Miss,Student,quart_4,2
2,female,S,Miss,Adult,quart_2,1
3,female,Q,Miss,,quart_1,1
3,female,Q,Miss,,quart_1,1
3,male,S,Mr,Adult,quart_3,6
2,male,C,Mr,Young,quart_3,2
3,female,C,Mrs,Adult,quart_2,2
3,male,S,Mr,Young,quart_1,1
3,male,Q,Mr,,quart_3,2
3,male,S,Mr,Young,quart_1,1
1,female,C,Mrs,Adult,quart_4,2
3,female,C,Mrs,,quart_1,1
3,female,Q,Miss,,quart_1,1
1,female,C,Mrs,Student,quart_4,1
1,male,C,Mr,Student,quart_4,2
3,male,S,Mr,Teen,quart_1,2
3,male,S,Mr,Student,quart_2,1
1,male,C,Mr,Student,quart_4,1
3,female,S,Miss,babies,quart_3,5
1,female,C,Mrs,,quart_4,2
3,female,S,Miss,Student,quart_1,1
1,male,C,Mr,Young,quart_4,3
3,male,C,Mr,Student,quart_1,1
3,male,S,Mr,Student,quart_1,1
1,female,C,Miss,Adult,quart_4,1
3,female,C,Miss,babies,quart_3,3
3,male,S,Mr,Young,quart_1,1
1,female,S,Mrs,Young,quart_4,2
3,male,S,Mr,,quart_1,1
2,male,S,Mr,Teen,quart_4,1
3,male,S,Master,babies,quart_4,8
2,female,S,Miss,Adult,quart_2,1
3,male,Q,Mr,,quart_1,1
2,female,C,Miss,Teen,quart_2,1
1,male,S,Mr,Adult,quart_4,4
3,male,S,Mr,Student,quart_1,1
3,male,S,Mr,Young,quart_1,3
1,female,C,Miss,Student,quart_4,2
3,female,S,Mrs,Student,quart_3,3
3,male,S,Mr,Student,quart_1,1
3,female,S,Miss,Young,quart_1,1
2,male,S,Mr,Adult,quart_3,1
2,male,S,Officer,Student,quart_2,1
2,female,S,Mrs,Young,quart_2,1
3,male,S,Mr,Adult,quart_1,1
3,male,S,Mr,Young,quart_2,1
3,female,S,Miss,Student,quart_2,2
3,male,S,Mr,Young,quart_3,2
3,female,S,Miss,Student,quart_2,1
2,male,S,Mr,Young,quart_3,2
3,male,S,Mr,Adult,quart_1,1
2,male,S,Master,babies,quart_3,3
3,male,S,Mr,Student,quart_1,1
3,female,S,Miss,,quart_3,5
3,male,S,Mr,,quart_1,1
3,male,Q,Mr,,quart_1,1
1,female,Q,Miss,Young,quart_4,2
2,male,S,Mr,,,1
3,male,S,Mr,Adult,quart_1,1
3,female,S,Mrs,,quart_2,1
2,female,S,Mrs,Young,quart_4,3
2,female,S,Miss,Teen,quart_2,3
2,male,S,Mr,Young,quart_2,1
3,female,S,Miss,Children,quart_3,3
3,male,C,Mr,,quart_1,1
3,male,Q,Mr,Student,quart_1,1
3,male,S,Mr,Young,quart_1,1
3,female,S,Mrs,Young,quart_2,3
3,male,S,Mr,Teen,quart_3,3
3,male,S,Mr,,quart_1,1
2,female,S,Mrs,Young,quart_3,2
2,female,S,Miss,Student,quart_3,1
3,male,Q,Mr,,quart_1,1
3,male,S,Mr,Young,quart_2,1
1,male,S,Mr,Young,quart_3,1
3,female,S,Mrs,,quart_3,2
2,female,S,Mrs,Adult,quart_3,2
3,male,S,Mr,Teen,quart_1,1
1,male,S,Mr,Adult,quart_4,2
1,female,S,Miss,Teen,quart_4,4
3,female,S,Miss,Student,quart_4,5
2,female,S,Mrs,Student,quart_3,6
1,male,S,Mr,Senior,quart_4,6
2,male,S,Mr,Young,quart_2,1
2,female,S,Mrs,Adult,quart_3,3
3,male,S,Mr,Student,quart_2,1
